cancer,canonical_drug_id,ev_composite_0_10,graph_luad_caveat,mandatory_caveat,drug_name,canonical_smiles,score_clinical_trial,score_approved_ind,score_ext_response,ctrp_partial_evidence_flag,ctrp_partial_evidence_note,admet_tier,admet_risk_flag_count,hERG_risk,Ames_risk,DILI_risk,hepatotoxicity_risk,admet_tier_score,ev_norm,final_priority_score,final_recommendation_tier,admet_status_22assay,critical_pass_count_22,total_pass_count_22,rank,drug_level_score,final_rank_by_cancer,final_rank_overall,recommended_action,key_ev_evidence_summary,key_admet_risk_summary,external_response_unavailable_caveat,drug_repurposing_category,category_priority,category_rule,recommended_for_repurposing
luad,1067,2.0,True,Graph component is partial for LUAD due to missing LUAD 2-model graph evaluations.,CCT007093,C1CC(=CC2=CC=CS2)C(=O)C1=CC3=CC=CS3,0,0,3,False,,D,2,low,high,high,low,0.1,0.3,0.23,Backup,WARNING,3,13,8,4.871366765292896,9,33,Keep as backup candidate,EV multiresponse (GDSC+PRISM); score_ext_response=3,hERG=low | Ames=high | DILI=high,GDSC+PRISM integrated in main EV; CTRP retained as partial evidence note due to limited confirmed mapping.,needs_manual_review,4,weak_signal_or_uncertain_mapping,False
luad,1620,0.0,True,Graph component is partial for LUAD due to missing LUAD 2-model graph evaluations.,PFI3,C1C2CN(C1CN2C3=CC=CC=N3)C=CC(=O)C4=CC=CC=C4O,0,0,1,False,,C,2,moderate,low,high,low,0.4,0.1,0.205,Backup,WARNING,3,13,5,5.047005034905466,10,38,Keep as backup candidate,EV multiresponse (GDSC+PRISM); score_ext_response=1,hERG=moderate | Ames=low | DILI=high,GDSC+PRISM integrated in main EV; CTRP retained as partial evidence note due to limited confirmed mapping.,needs_manual_review,4,weak_signal_or_uncertain_mapping,False
luad,1510,0.0,True,Graph component is partial for LUAD due to missing LUAD 2-model graph evaluations.,Linsitinib,C[C@]1(O)C[C@@H](c2nc(-c3ccc4ccc(-c5ccccc5)nc4c3)c3c(N)nccn32)C1,1,0,0,False,,D,4,high,high,high,high,0.1,0.1,0.1,Hold,PASS,4,14,16,-1000000000.0,11,52,Hold pending stronger evidence,EV multiresponse (GDSC+PRISM); score_ext_response=0,hERG=high | Ames=high | DILI=high,GDSC+PRISM integrated in main EV; CTRP retained as partial evidence note due to limited confirmed mapping.,indication_expansion_candidate,1,signal_with_some_clinical_anchor,True
luad,1023,-1.0,True,Graph component is partial for LUAD due to missing LUAD 2-model graph evaluations.,GW441756,CN1C=C(C2=CC=CC=C21)C=C3C4=C(C=CC=N4)NC3=O.Cl,0,0,0,False,,D,3,moderate,high,high,low,0.1,0.0,0.0349999999999999,Hold,PASS,4,16,27,-1000000000.0,12,57,Hold pending stronger evidence,EV multiresponse (GDSC+PRISM); score_ext_response=0,hERG=moderate | Ames=high | DILI=high,GDSC+PRISM integrated in main EV; CTRP retained as partial evidence note due to limited confirmed mapping.,needs_manual_review,4,weak_signal_or_uncertain_mapping,False
luad,1563,-1.0,True,Graph component is partial for LUAD due to missing LUAD 2-model graph evaluations.,EPZ5676,CC(C)N(CC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O)C4CC(C4)CCC5=NC6=C(N5)C=C(C=C6)C(C)(C)C,0,0,0,False,,D,3,high,low,high,high,0.1,0.0,0.0349999999999999,Hold,PASS,4,13,4,5.064173619000708,13,58,Hold pending stronger evidence,EV multiresponse (GDSC+PRISM); score_ext_response=0,hERG=high | Ames=low | DILI=high,GDSC+PRISM integrated in main EV; CTRP retained as partial evidence note due to limited confirmed mapping.,needs_manual_review,4,weak_signal_or_uncertain_mapping,False
luad,1940,-1.0,True,Graph component is partial for LUAD due to missing LUAD 2-model graph evaluations.,WIKI4,COC1=CC=C(C=C1)N2C(=NN=C2SCCCN3C(=O)C4=CC=CC5=C4C(=CC=C5)C3=O)C6=CC=NC=C6,0,0,0,False,,D,2,high,low,high,low,0.1,0.0,0.0349999999999999,Hold,PASS,4,18,30,-1000000000.0,14,59,Hold pending stronger evidence,EV multiresponse (GDSC+PRISM); score_ext_response=0,hERG=high | Ames=low | DILI=high,GDSC+PRISM integrated in main EV; CTRP retained as partial evidence note due to limited confirmed mapping.,needs_manual_review,4,weak_signal_or_uncertain_mapping,False
luad,2175,-1.0,True,Graph component is partial for LUAD due to missing LUAD 2-model graph evaluations.,CHIR-99021,CC1=CN=C(N1)C2=CN=C(N=C2C3=C(C=C(C=C3)Cl)Cl)NCCNC4=NC=C(C=C4)C#N,0,0,0,False,,D,3,high,low,high,moderate,0.1,0.0,0.0349999999999999,Hold,PASS,4,16,24,-1000000000.0,15,60,Hold pending stronger evidence,EV multiresponse (GDSC+PRISM); score_ext_response=0,hERG=high | Ames=low | DILI=high,GDSC+PRISM integrated in main EV; CTRP retained as partial evidence note due to limited confirmed mapping.,needs_manual_review,4,weak_signal_or_uncertain_mapping,False
stad,1009,6.0,False,,Tretinoin,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1,0,2,0,False,,B,1,low,moderate,low,low,0.7,0.7,0.7,Priority 1,WARNING,2,11,7,5.0625006341471845,1,6,Advance with highest priority for validation,EV multiresponse (GDSC+PRISM); score_ext_response=0,hERG=low | Ames=moderate | DILI=low,GDSC+PRISM integrated in main EV; CTRP retained as partial evidence note due to limited confirmed mapping.,indication_expansion_candidate,1,signal_with_some_clinical_anchor,True
stad,1029,8.0,False,,Motesanib,CC1(C)CNc2cc(NC(=O)c3cccnc3NCc3ccncc3)ccc21,0,1,2,False,,D,2,high,low,high,low,0.1,0.9,0.6200000000000001,Priority 2,PASS,4,18,6,5.13106261246587,2,11,Advance with focused validation plan,EV multiresponse (GDSC+PRISM); score_ext_response=2,hERG=high | Ames=low | DILI=high,GDSC+PRISM integrated in main EV; CTRP retained as partial evidence note due to limited confirmed mapping.,indication_expansion_candidate,1,signal_with_some_clinical_anchor,True
stad,1815,8.0,False,,Dacarbazine,CN(C)/N=N/c1[nH]cnc1C(N)=O,2,2,0,False,,D,2,low,high,high,low,0.1,0.9,0.6200000000000001,Priority 2,WARNING,3,12,2,5.829550626987805,3,13,Advance with focused validation plan,EV multiresponse (GDSC+PRISM); score_ext_response=0,hERG=low | Ames=high | DILI=high,GDSC+PRISM integrated in main EV; CTRP retained as partial evidence note due to limited confirmed mapping.,current_use_same_cancer,3,approved_plus_trials,False
stad,1042,5.0,False,,Doramapimod,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1,0,1,0,False,,D,4,high,moderate,high,high,0.1,0.6,0.425,Backup,WARNING,3,15,5,5.165814099877274,4,16,Keep as backup candidate,EV multiresponse (GDSC+PRISM); score_ext_response=0,hERG=high | Ames=moderate | DILI=high,GDSC+PRISM integrated in main EV; CTRP retained as partial evidence note due to limited confirmed mapping.,indication_expansion_candidate,1,signal_with_some_clinical_anchor,True
